Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Denmark,2554828590.0,2619049535.0,2677462910.0,2738116325.0,2802831500.0,2864459996.0,2939337495.0,3004807071.0,3066036486.0,3124685992.0,3178993542.0,3234874295.0,3290425983.0,3351061241.0,3406171375.0,3457703449.0,3517142328.0,3571799435.0,3623010033.0,3671833527.0,3721125802.0,3765441345.0,3805322203.0,3847147257.0,3884770789.0,3920085907.0,3957203249.0,3991753370.0
Djibouti,7056864.0,7368304.0,7679744.0,7991184.0,8295296.0,8599408.0,8910848.0,9236944.0,9552048.0,9867152.0,10207904.0,10574304.0,10973680.0,11395040.0,11801744.0,12215776.0,12626144.0,13087808.0,13586112.0,14047776.0,14564400.0,15037056.0,15553680.0,16145862.0,16828554.0,17569039.0,18357266.0,19174274.0
Dominica,989280.0,1047904.0,1106528.0,1168816.0,1234768.0,1315376.0,1388656.0,1469264.0,1546208.0,1626816.0,1729408.0,1839328.0,1941920.0,2059168.0,2172752.0,2290000.0,2403584.0,2557472.0,2689376.0,2821280.0,2960512.0,3088752.0,3224320.0,3356224.0,3491792.0,3633319.0,3777592.0,3921840.0
Dominican Republic,166252762.0,176205385.0,187027722.0,198694901.0,211071695.0,226843058.0,244040715.0,261897651.0,280146161.0,298530088.0,318123762.0,337717551.0,358791806.0,380051732.0,398121422.0,416501624.0,435922026.0,456678458.0,476947475.0,496761133.0,517335562.0,538116220.0,559767516.0,580725311.0,601716408.0,623187518.0,644969862.0,666238638.0
EU-28,243000000000.0,248000000000.0,252000000000.0,256000000000.0,260000000000.0,264000000000.0,269000000000.0,273000000000.0,277000000000.0,281000000000.0,286000000000.0,290000000000.0,294000000000.0,298000000000.0,303000000000.0,307000000000.0,311000000000.0,316000000000.0,320000000000.0,324000000000.0,328000000000.0,331000000000.0,335000000000.0,339000000000.0,342000000000.0,346000000000.0,349000000000.0,353000000000.0
Ecuador,318117673.0,334495299.0,356652628.0,380740016.0,394278518.0,416976429.0,441001914.0,459206971.0,481521714.0,502886735.0,523449352.0,546388822.0,571141960.0,597889813.0,626675657.0,656645750.0,685170351.0,716664332.0,749989326.0,785492543.0,821376640.0,859350101.0,896810627.0,937062838.0,980259812.0,1022134164.0,1061888077.0,1100685365.0
Egypt,1405886202.0,1484206913.0,1565033061.0,1657735668.0,1742570610.0,1837737506.0,1939145971.0,2046657961.0,2168123220.0,2292620637.0,2432968240.0,2557261026.0,2683042476.0,2829504519.0,2978648252.0,3143689945.0,3319709463.0,3505614652.0,3700900028.0,3903609734.0,4102417397.0,4315688402.0,4527681137.0,4736131981.0,4933233481.0,5133655640.0,5342566978.0,5561231356.0
El Salvador,57670673.0,60794541.0,64082047.0,67815494.0,72347730.0,77309300.0,81808268.0,87206540.0,92938207.0,98558341.0,104219229.0,110073672.0,116004516.0,122438798.0,128692461.0,135041730.0,141762293.0,148608161.0,155016809.0,161329459.0,167646504.0,174146978.0,180652722.0,186746324.0,192915780.0,199453649.0,206287957.0,213279980.0
Equatorial Guinea,2015200.0,2158096.0,2315648.0,2414576.0,2447552.0,2575792.0,2689376.0,2978832.0,3143712.0,3609040.0,4063376.0,7155792.0,12131504.0,18144128.0,23358000.0,28066240.0,32818448.0,37610960.0,42110352.0,46726992.0,51402256.0,57524800.0,62636080.0,67794992.0,73137104.0,78973561.0,85431835.0,92146727.0
Eritrea,69616.0,69616.0,69616.0,69616.0,930337.0,1859977.0,2867203.0,3726486.0,4312297.0,4927392.0,5531468.0,6157457.0,6757727.0,7478839.0,8243847.0,9005122.0,9561048.0,10135057.0,10544073.0,11052038.0,11560026.0,12131444.0,12761118.0,13399894.0,14062641.0,14779167.0,15543434.0,16336483.0
